Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,City,Visa_Sponsorship,Job_ID,Scope_Category
Truck Driver / Professional Driver with Loader Crane,Refuse & Waste Collection Workers (9611),9611,961,96,Garbage and Recycling Collectors,Berlin,Berlin Recycling GmbH,Direct Employer,2026-06-17,Full-time,,"Drives refuse collection vehicles across Berlin, working alongside waste operatives to collect, transport, and empty waste containers of various types as part of the city's recycling cycle.",Class C driving license with Code 95 entry and valid driver card; physical fitness for daily loading and unloading of heavy containers; loader crane operator certificate is an advantage but not required,Permanent contract; collective bargaining agreement coverage; 25 years of market experience ensuring stability; performance-based and punctual pay; further details not fully visible in preview,On-site,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-Berufskraftfahrer-Ladekran-m-w-d-Berlin-Berlin-Recycling-GmbH--14028530-inline.html,Berlin,,job-80,LOGISTICS
Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,meinestadt.de,Job Aggregator / Intermediary,2026-06-17,Full-time,,"Responsible for delivering goods to customers, loading and unloading the truck, checking orders and deliveries, and maintaining the vehicle. Must also comply with and monitor HACCP regulations.","Class C or CE driving licence, driver card with valid module training certificates, relevant professional experience, basic PC skills, reliable and customer-friendly manner, flexibility and teamwork ability.",Not specified,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-Stahnsdorf-meinestadt-de--14165076-inline.html,Stahnsdorf,,job-81,LOGISTICS
Motor Pool Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Berlin,Bundesnachrichtendienst,Recruitment Agency,2026-06-17,Full-time,,"Drives passenger cars for an official motor pool, performs routine vehicle inspections, carries out minor repairs, and ensures roadworthiness and operational safety of the fleet.","Experience in fleet or transport operations (preferably passenger transport), Class B driving licence, German citizenship, and willingness to undergo an extended security check (Ü3) under the Security Check Act (SÜG).",Employment with a public-sector employer offering varied and meaningful work; remuneration under the TVöD (Federal) collective agreement with applicable special provisions.,On-site,https://www.stepstone.de/stellenangebote--Mitarbeiterinnen-Mitarbeiter-w-m-d-für-die-Fahrbereitschaft-Berlin-Bundesnachrichtendienst--14164896-inline.html,Berlin,,job-82,LOGISTICS
Heavy Truck Driver – Container Urban Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,BRAL Reststoff-Bearbeitungs GmbH,Direct Employer,2026-06-17,Full-time,,"Transports containers within the Berlin city area, handles loading, unloading and securing of containers, adheres to driving and rest-time regulations, and liaises with dispatch and customers while processing delivery documents.","Knowledge of Berlin roads, customer-oriented attitude, reliability and punctuality, teamwork skills, minimum 7.5-tonne driving licence.","Regular working hours, permanent employment, employer covers costs for driver card, licence renewal and medical examinations, further training per BKrFQV, attractive hourly rate including bonus and special payments.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-LKW-m-w-d-im-Containerbereich-Stadtverkehr-Berlin-Berlin-BRAL-Reststoff-Bearbeitungs-GmbH--14161191-inline.html,Berlin,,job-83,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Parkett-Hinterseer GmbH,Direct Employer,2026-06-17,Part-time,,"Safely transports parquet flooring and accessories to customers, loads and unloads the truck in compliance with safety regulations, maintains the vehicle, and supports the team with logistics tasks.","Valid Class C/CE driving licence, driver card and module certificates, professional driving experience (ideally in building materials transport), good knowledge of traffic regulations, reliability, good German language skills, forklift licence.","Secure job with future prospects, attractive remuneration and social benefits, regular professional development opportunities, company pension scheme, additional employee benefits, team events.",On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-unbefristet-Berlin-Parkett-Hinterseer-GmbH--13920433-inline.html,Berlin,,job-84,LOGISTICS
Truck Driver – Waste Collection,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,DER STEG gGmbH,Direct Employer,2026-06-17,Part-time,,"Collects electronic waste (primarily in mesh pallet containers) according to collection schedules, issues prepared disposal documents, and loads and unloads materials together with a co-driver.","Class C1 driving licence, professional driver qualification (code 95), digital tachograph driver card, ability to work in a team.","Location Berlin-Reinickendorf, part-time Monday to Thursday 08:00–15:30, pay in line with TV-L Berlin pay grade 5, generous leave entitlement including birthday leave, motivated and friendly team, regular team meetings.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-Berlin-DER-STEG-gGmbH--11689019-inline.html,Berlin,,job-85,LOGISTICS
Heavy Truck Driver – Towing and Breakdown Service,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Auto-Zellmann GmbH,Direct Employer,2026-06-16,Full-time,,"Operates modern tow trucks in Berlin and the surrounding area to recover accident-damaged or unroadworthy vehicles, provides breakdown assistance, and serves as the on-site point of contact for customers.","Class CE driving licence, good automotive/mechanical knowledge, professional driver qualification (§95), reliability, strong German language skills, willingness to work weekends and public holidays.","Attractive performance-based pay, permanent contract, 30 days holiday plus special leave, bicycle leasing, company pension scheme, occupational health physician, company events and team activities.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-Klasse-CE-m-w-d-Berlin-Auto-Zellmann-GmbH--13922472-inline.html,Berlin,,job-86,LOGISTICS
Body and Vehicle Builder – Cars and Vans,Motor Vehicle & Fleet Mechanics (7231),7231,723,72,Motor Vehicle Mechanics and Repairers,Brandenburg,Mercedes-Benz AG,Direct Employer,2026-06-16,Full-time,,"Carries out accident repair and bodywork on passenger cars and vans at a Mercedes-Benz dealership in Berlin/Ludwigsfelde, applying up-to-date processing techniques with regular manufacturer training.","Completed vocational training as a body and vehicle builder, workshop and repair experience in bodywork, brand knowledge desirable, independent and reliable working style, Class B driving licence.","Above-tariff pay, holiday and Christmas bonuses, 30 days annual leave on a 36-hour week, company pension scheme, company health insurance, health promotion programmes, employee vehicle discounts, own toolbox and fully equipped workshop provided, meal allowances, optional company mobile phone, employee events, coaching, flexible working hours, hybrid working options, mobility allowances, childcare support.",Remote,https://www.stepstone.de/stellenangebote--Karosserie-und-Fahrzeugbauer-w-m-d-fuer-PKW-Transporter-in-der-Mercedes-Benz-Niederlassung-Berlin-Ludwigsfelde-Mercedes-Benz-AG--10873382-inline.html,Ludwigsfelde,,job-87,LOGISTICS
Truck Driver Class C – Fixed Route,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,M & H - Trans GmbH,Direct Employer,2026-06-16,Full-time,,"Drives a fixed daily route Monday to Friday delivering to construction sites and trade businesses for a wholesale HVAC supplier, handles loading and unloading of the vehicle, and assists with route planning.","Class C or CE driving licence, professional driver qualification (code 95 endorsed), good German language skills, strong service orientation, structured and self-reliant working approach.","Permanent contract from day one, 40-hour week with predictable schedule, modern Mercedes-Benz or MAN truck, team events (summer party, Christmas party, team evenings), structured onboarding.",On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-Klasse-C-mwd-Mo-Fr-8h-feste-Tour-fester-LKW-Oberkraemer-M-H-Trans-GmbH--13781938-inline.html,Oberkrämer,,job-88,LOGISTICS
Delivery Driver – 7.5 Tonne,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Rühl Büro Einrichtungen GmbH,Direct Employer,2026-06-16,Full-time,,"Safely loads and unloads a 7.5-tonne truck and delivers furniture within the city area, typically working in teams, assembles furniture at the customer's premises, and processes delivery documentation.","Class C1 driving licence (mandatory), driver card desirable, physical fitness, neat appearance, manual dexterity, good teamwork skills, good German language skills.","30 days annual leave, Monday to Friday working hours from 07:00, permanent contract, attractive remuneration, good public transport connections, family-like working environment with flat hierarchies.",On-site,https://www.stepstone.de/stellenangebote--Vertriebsmitarbeiter-Auslieferungsfahrer-m-w-d-7-5-Tonnen-Auslieferungsfahrer-in-nicht-Verkaufsfahrer-in-Berlin-Ruehl-Buero-Einrichtungen-GmbH--13775663-inline.html,Berlin,,job-89,LOGISTICS
Intra-Logistics Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Transgourmet Deutschland GmbH & Co. OHG,Direct Employer,2026-06-16,Full-time,,"Transports pre-picked goods between warehouse locations, loads and unloads vehicles in compliance with safety regulations, checks consignments for completeness and integrity, maintains the vehicle, and supports internal route planning.","Class CE driving licence, several years of driving experience preferred, valid driver card, ideally experience in intra-company or factory transport, willingness to work rotating shifts including Sundays and public holidays, reliability, physical fitness, flexibility and team spirit.","30 days annual leave, access to Truck Academy training, corporate benefits programme, employee discounts, regional day trips only, employer-funded savings plan (VWL).",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-im-Lagerverkehr-Berlin-Transgourmet-Deutschland-GmbH-Co-OHG--14092162-inline.html,Berlin,,job-90,LOGISTICS
Truck Driver with Loader Crane,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,M & H - Trans GmbH,Direct Employer,2026-06-16,Full-time,,Delivers building materials to construction sites using a loader crane (Ladekran/Selbstlader) truck on fixed Monday-to-Friday routes. The driver is responsible for operating the crane-equipped vehicle and managing the assigned delivery tour independently.,Class C driving licence; loader crane/self-loader operating experience; professional driver qualification (BKrFQG/Code 95); good written and spoken German; service orientation; structured and self-reliant working style.,"Fixed start time of 6:00 AM; Monday to Friday only; fixed vehicle and fixed client; tour starts and ends at depot or near home; permanent contract from day one; gross base salary €3,200/month; expenses allowance €294/month.",On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-Ladekran-mwd-Mo-Fr-Baustoff-Oberkraemer-M-H-Trans-GmbH--13781694-inline.html,Oberkrämer,,job-91,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Hans Engelke Energie OHG,Direct Employer,2026-06-16,Full-time,,"Delivers heating oil, diesel, and wood pellets to customers in the greater Berlin area using tank or silo vehicles, serving as the customer-facing representative of the company. The driver is also responsible for vehicle loading, unloading, and routine maintenance.","Valid Class CE driving licence and ADR tank certification; experience with silo or tank vehicles preferred but not required; forklift licence desirable; reliability, punctuality, and friendly customer manner; willingness to work flexibly during the heating season; good German language skills.",Local transport only (home every evening); permanent position in a crisis-proof family business; work-life balance emphasis; location Berlin-Britz/Tempelhof.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-gesucht-Britz-Berlin-Deutschland-Hans-Engelke-Energie-OHG--13773497-inline.html,Britz,,job-92,LOGISTICS
Professional Truck Driver Regional and Long-Distance,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Brandenburg,RuLa-BRW GmbH,Direct Employer,2026-06-16,Full-time,,Delivers retreaded commercial vehicle tyres to customers and collects and documents carcasses at customer sites. The driver also independently plans routes according to given guidelines and handles loading and unloading at the depot and customer locations.,Class CE driving licence and driver card; BKrFQG qualification modules; written and spoken German; friendly customer manner; self-directed tour planning; reliability and careful handling of equipment; tandem trailer and tail-lift experience an advantage.,Family working atmosphere and flat hierarchies; punctual wage payment plus expenses; compliance with statutory driving and rest times; Monday to Friday schedule; overnight stays in vehicle during the week; weekends at home; company covers BKrFQG module and medical examination costs; company clothing provided.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-im-Werksverkehr-Fernverkehr-Koenigs-Wusterhausen-RuLa-BRW-GmbH--13781123-inline.html,Königs Wusterhausen,,job-93,LOGISTICS
Truck Driver Class CE for Bridge Inspection Vehicles,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,TILA Easy-Lift GmbH,Direct Employer,2026-06-16,Full-time,,"Operates and drives heavy trucks equipped with specialised bridge inspection (undercarriage viewing) devices, including on-site assembly, disassembly, and operation of the equipment. The role also involves routine maintenance and repair of vehicles and devices according to instructions, as well as availability for night, weekend, and special deployments.","Class CE driving licence required; truck driving experience preferred; technical aptitude and practical mechanical skills; willingness to be trained on specialised equipment; reliable, independent, and responsible working style; flexibility for night and weekend work; willingness to travel.",Not specified.,On-site,https://www.stepstone.de/stellenangebote--Lkw-Fahrer-m-w-d-Klasse-CE-fuer-Brueckenuntersichtgeraete-Berlin-TILA-Easy-Lift-GmbH--13779282-inline.html,Berlin,,job-94,LOGISTICS
Truck Driver Freight Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,,Nickel u Göldner Spedition GmbH,Direct Employer,2026-06-16,Part-time,,"Delivers goods to branches of well-known food retailers using a 40-tonne truck, driving safely and responsibly. The role is based out of Großbeeren and covers scheduled delivery routes.",Class CE driving licence and driver card; BKrFQG Code 95 qualification; basic forklift operating knowledge; professional driver qualification mandatory.,"Above-average remuneration; punctual and reliable pay; plannable working hours in full or part time; home every evening; driver referral bonus €400 net; expenses up to €28/day; welcome bonus up to €1,000 net; company pension scheme; company health insurance.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-m-w-d-Gueterkraftverkehr-bei-Nickel-Goeldner-Spedition-GmbH-ab-Grossbeeren-Grossbeeren-Nickel-u-Goeldner-Spedition-GmbH--13776189-inline.html,Großbeeren,,job-95,LOGISTICS
Truck Driver for Scaffolding Company,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Steinhoff Gerüstbau und Montagedienst GmbH,Direct Employer,2026-06-16,Full-time,,"Supplies scaffolding equipment to construction sites across Berlin and Brandenburg using a fleet that includes flatbed trucks (3.5t and 7.5t), an 18t container vehicle with skip loader, and crane trucks. The driver is responsible for all deliveries within the assigned area.",Class CE (formerly Class 2) driving licence; professional experience; reliability; physical fitness.,Permanent employment; Monday to Friday day shifts.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-fuer-den-Geruestbau-Berlin-Steinhoff-Geruestbau-und-Montagedienst-GmbH--13192846-inline.html,Berlin,,job-96,LOGISTICS
Courier Driver,Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",Brandenburg,Kurierdienste und Transporte Groger e.K.,Direct Employer,2026-06-16,Full-time,,"Handles collection and delivery of shipments in the regional Brandenburg area east of Berlin for a catering partner, including loading and unloading vehicles and maintaining customer-facing standards. The driver is expected to operate safely and in a customer-oriented manner while adhering to all safety and quality standards.",Class B driving licence (additional classes advantageous); some experience in transport or courier services preferred but not required; reliability and willingness to pitch in; good written and spoken German; clean and friendly appearance; clean police clearance certificate required.,Secure job in a company with over 30 years of experience; fair and punctual pay; collegial team environment; vehicle may be taken home by arrangement; long-term prospects and development opportunities.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-m-w-d-im-Kurierdienst-gesucht-Ludwigsfelde-Kurierdienste-und-Transporte-Groger-e-K--13781539-inline.html,Ludwigsfelde,,job-97,LOGISTICS
Professional Truck Driver Freight Transport,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Container Welt Berlin GmbH,Direct Employer,2026-06-15,Full-time,,"Conducts local freight transport with truck and tandem trailer in the Berlin area, including loading, unloading, and crane operation for the assembly and disassembly of container units (office, sanitary, and storage containers). The driver ensures compliance with all road traffic regulations, secures loads, and maintains documentation and communication with dispatchers and customers.","Class CE driving licence and EU driver card; BKrFQG professional driver qualification; freight transport experience advantageous; good local knowledge of Berlin and surroundings; loader crane operating experience; sense of responsibility, reliability, and flexibility.",Company mobile phone; free parking; further training programmes; 30 days annual leave.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-in-Gueterverkehr-Berlin-Berlin-Container-Welt-Berlin-GmbH--14028460-inline.html,Berlin,,job-98,LOGISTICS
Professional Truck Driver Container Services,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Kanellos GmbH,Direct Employer,2026-06-15,Full-time,,"Operates hook-lift and skip-loader container vehicles to transport skip and roll-off containers in the Berlin/Brandenburg region, ensuring load security and compliance with all applicable regulations. The driver maintains professional customer contact on-site and is responsible for vehicle upkeep and reporting defects.","Class C/CE driving licence with Code 95 (BKrFQG); experience in container transport or a comparable field preferred; sense of responsibility, reliability, high commitment, and team orientation; good local knowledge of Berlin/Brandenburg advantageous; physical fitness and basic technical understanding.","Secure job in a growing waste management/disposal company; local transport only, no overnight stays.",On-site,https://www.stepstone.de/stellenangebote--Jobdetail-Berufskraftfahrer-m-w-d-im-Containerdienst-in-Berlin-Berlin-Deutschland-Kanellos-GmbH--13314004-inline.html,Berlin,,job-99,LOGISTICS
Truck Driver with Warehouse Duties,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Neubauer Holzfachmarkt GmbH,Direct Employer,2026-06-14,Full-time,,"Responsible for the punctual and safe delivery of timber and building materials to customers, including loading and unloading the truck with a forklift and handling associated warehouse tasks. The driver also monitors incoming deliveries, documents shipments, and collaborates closely with the team for smooth delivery operations.","Valid Class CE driving licence; truck driving experience, ideally in timber or building materials transport; forklift licence and practical forklift experience; reliable and responsible working style; team orientation and good communication skills; customer-focused manner; willingness to perform physical work and work flexibly.",Full-time employment contract; attractive pay; pleasant working environment in a committed team; opportunity for professional development; modern fleet and high-quality equipment; long-term working relationship.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-m-w-d-mit-Lagertaetigkeiten-gesucht-Berlin-Neubauer-Holzfachmarkt-GmbH--14087230-inline.html,Berlin,,job-100,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Erler Wennigsen KG,Direct Employer,2026-06-14,Full-time,,"Operates 3-axle and 4-axle tipper trucks and articulated lorries up to 40 tonnes GVW, performing transport assignments including load securing and minor vehicle maintenance.",Completed vocational training as a professional driver or equivalent experience; Class C/CE licence; BKrFQG qualification with code 95 entry; driver card; good German language skills.,Permanent employment contract.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrerinnen-m-w-d-Berlin-Erler-Wennigsen-KG--14151038-inline.html,Berlin,,job-101,LOGISTICS
Truck Driver for Timber and Building Materials Trade,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Neubauer Holzfachmarkt GmbH,Direct Employer,2026-06-14,Full-time,,"Responsible for the punctual and safe delivery of timber and building materials to customers, including loading and unloading the truck in compliance with safety regulations and documenting deliveries.","Valid Class CE licence; experience driving trucks, ideally in timber or building materials transport; forklift licence and practical forklift experience; reliability; teamwork and communication skills; customer-oriented manner; physical fitness and flexibility.",Attractive pay; pleasant team environment; opportunities for professional development; modern vehicle fleet and quality equipment; long-term employment.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-fuer-Holz-und-Baustoffhandel-Berlin-Neubauer-Holzfachmarkt-GmbH--13965117-inline.html,Berlin,,job-102,LOGISTICS
Professional Truck Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Lemon Express GmbH,Direct Employer,2026-06-14,Part-time,,"Carries out transport assignments in Berlin and the surrounding area, ensuring punctual and proper delivery of goods while maintaining the vehicle and complying with legal regulations.","Valid Class C/CE licence; professional driving experience an advantage; good knowledge of traffic regulations and route planning; reliability and teamwork; basic German skills, English an advantage; knowledge of loading, unloading, and freight forwarding.",Attractive salary and additional social benefits; modern vehicles and equipment; pleasant working atmosphere; flexible hours with part-time option; training and development opportunities.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-in-Berlin-Steglitz-Berlin-Lemon-Express-GmbH--13768147-inline.html,Berlin,,job-103,LOGISTICS
Truck Driver / Self-Loading Vehicle Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,M.Hajek Strassen- und Tiefbau GmbH,Direct Employer,2026-06-14,Full-time,,"Delivers materials to construction sites according to route plans, handles loading and unloading, and ensures compliance with load securing and safety regulations; operation of a loader crane is required.",Extended knowledge of loading and unloading; expert-level loader crane operation skills.,Permanent full-time position; above-tariff pay; flat hierarchy team environment.,On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-in-Selbstladefahrer-in-m-w-d-Berlin-M-Hajek-Strassen-und-Tiefbau-GmbH--13768909-inline.html,Berlin,,job-104,LOGISTICS
Truck Driver and Warehouse Worker,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,MF Berlin Baustoffhandels GmbH,Direct Employer,2026-06-14,Full-time,,"Delivers construction site equipment and materials to customers in Berlin and surrounding areas, and performs warehouse tasks including picking, storing, labelling, forklift operation, and goods receipt and dispatch documentation.","Class B/C1E driving licence; forklift licence desirable but not mandatory; initial experience in warehousing and order picking; high reliability, flexibility, and punctuality; team-oriented approach.",Varied and responsible role; well-maintained modern equipment; secure job; regular working hours; punctual salary payments; structured onboarding.,On-site,https://www.stepstone.de/stellenangebote--MF-Berlin-Baustoffhandels-GmbH-Berlin-Deutschland-MF-Berlin-Baustoffhandels-GmbH--11842545-inline.html,Berlin,,job-105,LOGISTICS
Professional Truck Driver in Container Service,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,Kanellos GmbH,Direct Employer,2026-06-13,Full-time,,"Operates hook-lift and skip-loader container vehicles transporting containers in the Berlin/Brandenburg region, ensuring load safety, vehicle upkeep, and professional customer interaction on site.","Class C/CE licence with code 95 (BKrFQG); experience in container service or comparable truck driving desirable; good local knowledge of Berlin/Brandenburg an advantage; reliability, physical fitness, and basic technical understanding.",Secure position in a growing waste management company; modern well-equipped fleet; fair and punctual remuneration; regular daytime hours with regional routes; collegial work environment; full-time.,On-site,https://www.stepstone.de/stellenangebote--Berufskraftfahrer-m-w-d-im-Containerdienst-Berlin-Kanellos-GmbH--13834583-inline.html,Berlin,,job-106,LOGISTICS
Truck Driver Class C/CE,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,SKY-TEC GmbH Instandsetzungsbetrieb für Hubarbeitsbühnen,Direct Employer,2026-06-13,Full-time,,"Transports and operates aerial work platforms and mini cranes, and provides customers with professional instruction on the use of this equipment.",Completed vocational training as a professional driver or equivalent; experience in transport; Class C/CE licence and driver card; ability to work independently; customer-friendly manner.,"Permanent contract; family-style work atmosphere; interesting tasks in a forward-looking sector; intensive onboarding; attractive remuneration including performance bonus, holiday pay, and year-end bonus; above-statutory annual leave.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-C-CE-m-w-d-Berlin-Berlin-SKY-TEC-GmbH-Instandsetzungsbetrieb-fuer-Hubarbeitsbuehnen--13834446-inline.html,Berlin,,job-107,LOGISTICS
Truck Driver and Refuse Collector,Refuse & Waste Collection Workers (9611),9611,961,96,Garbage and Recycling Collectors,Brandenburg,Südbrandenburgischer Abfallzweckverband,Recruitment Agency,2026-06-13,Full-time,,"Drives a waste collection vehicle and collects refuse in all weather conditions, loading bins and transporting them to the collection vehicle, and reporting customer queries or operational issues internally.","Minimum Class C driving licence with BKrFQG qualification and code 95 entry; professional experience as an HGV driver, ideally in waste management; experience with electronic control systems such as on-board computers.","Employment contract at 39 hours per week with collectively agreed pay under TVöD VKA pay group 5, including annual special payment and hardship allowance; additional benefits including monthly non-cash benefits, personal time-value account, and performance-related components.",On-site,https://www.stepstone.de/stellenangebote--Kraftfahrer-Muellwerker-m-w-d-Ludwigsfelde-Suedbrandenburgischer-Abfallzweckverband--13832206-inline.html,Ludwigsfelde,,job-108,LOGISTICS
Automotive Mechatronics Technician / High-Voltage Mechatronics Technician for Cars and Vans,Motor Vehicle & Fleet Mechanics (7231),7231,723,72,Motor Vehicle Mechanics and Repairers,Berlin,Mercedes-Benz AG,Direct Employer,2026-06-12,Full-time,,"Works on current vehicle electronics, hybrid and electric drivetrains, and high-voltage technology at a Mercedes-Benz dealership, with regular manufacturer training provided.",Completed vocational training as an automotive mechatronics technician or high-voltage mechatronics technician; workshop and repair experience with passenger cars; willingness to work shifts; Class B driving licence.,Permanent contract; above-tariff pay plus holiday and Christmas bonus; 30 days annual leave on a 36-hour week; company pension; company health insurance and health promotion offers; employee vehicle discounts; own toolbox and fully equipped workshop; meal allowance; possible employee phone and profit-sharing; flexible working hours; health measures; mobility benefits; childcare support.,Remote,https://www.stepstone.de/stellenangebote--KFZ-Mechatroniker-KFZ-Hochvoltmechatroniker-w-m-d-fuer-PKW-Transporter-in-der-Mercedes-Benz-Niederlassung-Schoenefeld-Schoenefeld-Mercedes-Benz-AG--10527721-inline.html,Schönefeld,,job-109,LOGISTICS
Truck Driver / Professional HGV Driver,Heavy Truck & Lorry Drivers (8332),8332,833,83,Heavy Truck and Lorry Drivers,Berlin,PIN AG,Direct Employer,2026-06-03,Full-time,,"Conducts daily delivery and collection runs exclusively to and from business customers in Berlin and the immediate surrounding area, overseeing safe loading and unloading of the truck.",Valid Class CE licence with code 95; good German language skills; experience with trucks or comparable vehicles desirable; good local knowledge of Berlin and Brandenburg; willingness to work rotating shifts (04:00–21:00); independent and organised working style; friendly and team-oriented manner.,Working time recording and overtime compensation; collegial and relaxed team atmosphere; employee referral programme; permanent contract; subsidy for public transport (BVG ticket); paid induction period.,On-site,https://www.stepstone.de/stellenangebote--LKW-Fahrer-Berufskraftfahrer-m-w-d-Berlin-PIN-AG--13725432-inline.html,Berlin,,job-110,LOGISTICS
Driving Instructor,Other/Non-Logistics (9999),2356,235,23,Driving Instructors,,FSW Zehlendorf GmbH,Direct Employer,2026-06-28,Part-time,,"Driving instructors train students in both theoretical and practical aspects of driving, preparing them for official licensing exams. They provide individual coaching, motivation, and document student progress throughout the training process.","Valid driving instructor license (class B required, additional classes an advantage); enjoyment of working with people and pedagogical aptitude; sense of responsibility, patience, and reliability; friendly and professional demeanor.",Permanent full-time position in a modern driving school; attractive salary with bonus payments; flexible working hours supporting work-life balance; company covers continuing education costs; team events; vacation and Christmas bonuses; company vehicle available.,On-site,https://www.stepstone.de/stellenangebote--Wir-suchen-engagierte-Fahrlehrer-innen-die-unsere-Fahrschueler-mit-Geduld-und-Humor-begleiten-Kleinmachnow-FSW-Zehlendorf-GmbH--14019271-inline.html,Kleinmachnow,,job-111,LOGISTICS
"Allrounder Delivery, Order Picking and Goods Receipt",Car / Taxi / Van Drivers (8322),8322,832,83,"Car, Taxi and Van Drivers",,Markthalle Neun GmbH,Direct Employer,2026-06-28,Part-time,,"A versatile role combining delivery and collection of temperature-controlled goods to customers, order picking and packaging in a cold store, incoming goods inspection, inventory management, and fleet cleaning. The position also includes quality assurance for fresh produce such as fruit and vegetables.",Class B driving license (up to 3.5t) with van driving experience; passion for artisan and organic food products; enjoyment of direct customer contact; experience with business operational processes; ability to work independently and reliably.,Attractive hourly wage; growth-oriented company; pleasant and relaxed customer base; varied work in a committed team; inspiring environment among food producers and traders.,On-site,https://www.stepstone.de/stellenangebote--Allrounder-in-gesucht-Auslieferung-Kommissionierung-und-Warenannahme-Kreuzberg-Berlin-Deutschland-Markthalle-Neun-GmbH--13305299-inline.html,Kreuzberg,,job-112,LOGISTICS
