Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
"Gesundheits- und Krankenpfleger (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Berlin (Lichterfelde)",CLASSIFICATION_FAILED,,,,,Berlin,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.500 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-und-Krankenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Lichterfelde-pluss-Personalmanagement-GmbH--13667394-inline.html,HEALTHCARE,Berlin (Lichterfelde),2026-06-19,,,,,"500 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 500 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-50,49
"Pflegefachkraft (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Berlin (Weißensee)",CLASSIFICATION_FAILED,,,,,Berlin,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.600 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Weissensee-pluss-Personalmanagement-GmbH--13667392-inline.html,HEALTHCARE,Berlin (Weißensee),2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-51,50
"Altenpfleger / Pflegefachkraft (m/w/d) Springerpool in Berlin-Charlottenburg, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,meinestadt.de,,2026-06-16,Part-time,,"• Pflege und Betreuung: Aktivierende therapeutische Pflege und Betreuung geriatrischer Patientinnen und Patienten.
• Ermöglichung der Teilhabe: Förderung von Selbstständigkeit, Mobilität und Lebensqualität.
• Teamarbeit: Zusammenarbeit mit Ärzt:innen, Therapeut:innen und weiteren Berufsgruppen.","• Qualifikation: Abgeschlossene Ausbildung als Pflegefachkraft (Gesundheits- und Krankenpfleger:in oder Altenpfleger:in).
• Erfahrung und Interesse: Freude an der Arbeit mit älteren Menschen und Erfahrung in der Geriatrie wünschenswert, aber kein Muss.
• Engagement und Teamgeist: Motivation, flexibel zu arbeiten, strukturiert vorzugehen und im Team Verantwortung zu übernehmen.",,On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-Pflegefachkraft-m-w-d-Springerpool-in-Berlin-Charlottenburg-Berlin-meinestadt-de--14094019-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Ihr Profil Qualifikation: Abgeschlossene Ausbildung als Pflegefachkraft (Gesundheits- und Krankenpfleger:in oder Altenpfleger:in) | • Qualifikation: Abgeschlossene Ausbildung als Pflegefachkraft (Gesundheits- und Krankenpfleger:in oder Altenpfleger:in),,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/meinestadtde-218724/jobs,job-52,51
"Pflegefachkraft (w/m/d) Außerklinische Intensivpflege im Raum Berlin Pankow, Bezirk Pankow",CLASSIFICATION_FAILED,,,,,Not specified,OXYLIS GmbH,,2026-06-16,Part-time,,"• Du betreust pflegebedürftige Menschen in der eigenen Häuslichkeit mit Fokus auf die beatmungspflegerische Versorgung.
• Du arbeitest eng mit Ärzt:innen, Therapeut:innen und Angehörigen zusammen.
• Du übernimmst die fachgerechte Dokumentation (digital über Euregon snap – easy & effizient!)
• Du gestaltest aktiv den Pflegealltag mit – Deine Ideen sind gefragt!","• Du bist examinierte Pflegefachkraft (m/w/d) – egal ob Gesundheits- und Krankenpflege, Altenpflege oder Pflegefachfrau/-mann
• Du bringst Empathie, Sozialkompetenz und Verantwortungsbewusstsein mit
• Interprofessionelles Arbeiten findest du spannend – Teamspirit ist für dich kein Fremdwort
• Du hast Lust auf Neues, bist motiviert und willst mit uns etwas aufbauen? Let’s go!","• Faire, tarifgebundene Bezahlung – weil du es verdienst
• Oxylis Betriebsrente – für deine Zukunft
• Digitale Prozesse – ob mit CareMates, der KI-unterstützten CRM-Software für Anfragen und Aufnahmen, oder mit EUREGON snap & Pflegecampus – dein Pflegealltag wird smart und effizient
• Vielfältige Fortbildungen – nicht nur digital, sondern auch zur Digitalisierung in der Pflege
• Flexible Schichtmodelle – Vollzeit, Teilzeit oder Minijob, passend zu deinem Leben
• Offene, positive Unternehmenskultur – du gestaltest mit, profitierst von offener Kommunikation und echtem Teamspirit
• Regelmäßige Teamevents – ob gemeinsames Essen, Ausflug oder Sommerfest – wir feiern Erfolge zusammen",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-w-m-d-Ausserklinische-Intensivpflege-im-Raum-Berlin-Pankow-Bezirk-Pankow-Berlin-Deutschland-OXYLIS-GmbH--13648168-inline.html,HEALTHCARE,Bezirk Pankow,2026-06-19,,,,,"test aktiv den Pflegealltag mit – Deine Ideen sind gefragt! Dein Profil Du bist examinierte Pflegefachkraft (m/w/d) – egal ob Gesundheits- und Krankenpflege, Altenpflege | Du gestaltest aktiv den Pflegealltag mit – Deine Ideen sind gefragt! • Du bist examinierte Pflegefachkraft (m/w/d) – egal ob Gesundheits- und Krankenpflege, Altenpflege",,Residential & Long-Term Care,,job-53,52
"Altenpfleger (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Berlin (Weißensee)",CLASSIFICATION_FAILED,,,,,Berlin,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.600 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Weissensee-pluss-Personalmanagement-GmbH--13667386-inline.html,HEALTHCARE,Berlin (Weißensee),2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-54,53
"Medizinische Fachangestellte / Arzthelferin (m/w/d), Berlin",CLASSIFICATION_FAILED,,,,,Berlin,PROMIC - Dr. med. Erik Weise,,2026-06-16,Full-time,,"• Einrichten und Inbetriebnahme von modernen Fertigungsmaschinen und Anlagen
• Überwachung der Produktionsprozesse
• Wartung, Instandhaltung und Umrüstung der Anlagen
• Analyse und Behebung von Störungen
• Anlageninspektionen und Reinigungsarbeiten
• Anfertigung von Produktionsdokumentationen","• Spaß an Technik und handwerkliches Geschick
• Freude am Umgang mit technischen Zeichnungen und Maschinen
• Räumliche Vorstellungskraft und logisches Denkvermögen
• Teamfähigkeit, Zuverlässigkeit und Eigeninitiative
• Einen Hauptschul-, oder Realschulabschluss","• Verantwortungsvolle Aufgaben, die dich fordern und fördern
• Kurze Entscheidungswege eines inhabergeführten Unternehmens in familiärer Arbeitsatmosphäre
• Ein abwechslungsreiches Aufgabengebiet",On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-Arzthelferin-m-w-d-Berlin-PROMIC-Dr-med-Erik-Weise--13061193-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"fähigkeit, Zuverlässigkeit und Eigeninitiative Einen Hauptschul-, oder Realschulabschluss DAS BIETEN WIR DIR Verantwortungsvolle Aufgaben, die dich fordern und fördern K | • Einen Hauptschul-, oder Realschulabschluss • Verantwortungsvolle Aufgaben, die dich fordern und fördern",,Other Healthcare Providers,,job-55,54
"Medizinischer Fachangestellte:r (w/m/d) Allgemeinmedizin 25-30 h/Woche, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,PHYSIOMED SÜD GmbH,,2026-06-16,Part-time,,"• Empfang und Betreuung von Patienten
• Terminvergabe und -koordination
• Assistenz bei ärztlichen Untersuchungen und Behandlungen
• Durchführung administrativer Aufgaben und Dokumentation
• Blutentnahmen, Impfungen und Verbandswechsel","VERANTWORTUNGSBEWUSSTSEIN: Wir achten unser Gegenüber und behandeln ihn mit WertschätzungRESPEKT: Wir gehen offen, empathisch und zugewandt miteinander um.FREUNDLICHKEIT: Unsere Anforderungen: Abgeschlossene Ausbildung als MFA 1-3 Jahre Erfahrung als MFA, vorteilhaft in Allgemeinmedizin Kenntnisse in Medistar und Doctolib wünschenswert Labortätigkeiten wie z.B. Blutabnahme, EKG oder Impfen Leistungsziffern in Patientenakte eintragen Ausführung von Hygienemaßnahmen Patientenannahme Terminierung der Patienten:innen","• Allgemeinmedizin 25-30 h/Woche
• Unbefristet
• Teilzeit
• 2.350 € - 2.700 € Monatlich
• Berlin, Berlin, Deutschland
• MVZ BERLIN",On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellte-r-w-m-d-Allgemeinmedizin-25-30-h-Woche-Berlin-PHYSIOMED-SUED-GmbH--14156307-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"FREUNDLICHKEIT: Unsere Anforderungen: Abgeschlossene Ausbildung als MFA 1-3 Jahre Erfahrung als MFA, vorteilhaft in Allgemeinmedizin Kenntnisse",3 years,Mental Health & Rehabilitation,,job-56,55
"Pflegepersonal (m/w/d), Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Cahide Karabulut -Ay Med Pflegedienst-,,2026-06-16,Full-time,,"mit Pflegedienstleitung -für die verantwortliche , organisatorisch und verwaltungstechnische Aufgabe in Pflegedienst erfüllt -die Leitung und Koordination des Pflegepersonals veranwortlich stellt sicher, dass alle pflegerische Tätigkeit ordnungsgemäß und qualitative hochwertig durchgeführt wird.","Grundkenntnisse: Altenarbeit, Seniorenarbeit, Altenpflege, Ambulante Wohnbetreuung, Ambulante/mobile Pflege, Behandlungspflege",Weitere Berufsbezeichnung: Buchhalterin; Fachkraft in Pflegedienst Hausarbeiten gern türkischsprechen,On-site,https://www.stepstone.de/stellenangebote--Pflegepersonal-m-w-d-Berlin-Cahide-Karabulut-Ay-Med-Pflegedienst--13777900-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,,job-57,56
"Pflegefachkraft( m/w/d) gesucht/ Willkommen im Kniesehaus !, Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Blindenwohnstätte Kniesehaus gemeinnützige Betriebs GmbH,,2026-06-16,Full-time,,"- Jeden Tag als lebenswürdigen Tag gestalten und zelebrieren - Mit viel Freude dafür sorgen, dass es den blinden und seheingeschränkten Bewohnerinnen und Bewohnern im Kniesehaus gut geht - Respektvoll, klar im Umgang und in der Kommunikation etwas bewegen wollen - Im Blick haben, was zu tun ist - Sich verantwortlich fühlen für den reibungslosen Ablauf während Ihrer Schicht - Ärzte und Verwaltung organisieren - Eine durchdachte Übergabe der Schicht, um Qualität zu sichern - Medikamente stellen, medizinische Pflege, digitale Dokumentation Blinde Menschen pflegen heißt blindes Vertrauen pflegen Die Pflege blinder oder seheingeschränkter Menschen erfordert besonderes Einfühlungsvermögen. Die meisten Bewohnerinnen und Bewohner erblinden erst im Alter und müssen sich an ihre neue Lebenssituation gewöhnen, weshalb Vertrauen eine zentrale Rolle spielt.","Ihr Profil- Eine abgeschlossene Ausbildung als Pflegefachkraft, examinierte/r Altenpfleger/in bzw. Gesundheits- und Krankenpfleger/in - Motivation, etwas zu bewirken - Lust sich weiterzuentwickeln - Besitz von fachlichen und sozialen Kompetenzen sowie Verantwortungsbewusstsein - Überzeugung durch wertschätzenden Umgang mit den Tagesgästen, Angehörigen/Betreuern, Kolleginnen und Kollegen - Gute Deutschkenntnisse (mindestens B2), damit Sie unseren blinden oder seheingeschränkten Bewohnerinnen und Bewohnern gut erklären können, was Sie gerade für sie tunAnforderungen an den Bewerber: Grundkenntnisse: Grundpflege, Angehörigenberatung Erweiterte Kenntnisse: Altenarbeit, Seniorenarbeit, Pflegedokumentation","- Freiraum, mitzugestalten und Abläufe zu verändern - Einen schönen Garten für eine erholsame Pause - Zur optimalen Vereinbarkeit von Beruf und Familie unternehmen wir bei der Dienstplangestaltung und Urlaubsplanung alles in unserer Macht Stehende, um unsere Mitarbeitenden bestmöglich zu unterstützen (bspw. Kita-Schließzeiten, Schulferien etc.) - Die Möglichkeit auf eine vorübergehende Dienstwohnung - Branchenübliche Vergütung, in Abhängigkeit von der Berufsausbildung, dem Umfang der Berufserfahrung und etwaiger Zusatzqualifikationen - 30 Tage Urlaub - Eine Jahressonderzahlung - Prämie ,,Mitarbeiter werben Mitarbeiter'' - Gemeinsame Feste und Feiern - Stadtpark und Einkaufsmöglichkeiten in der Nähe und gute Anbindung an den ÖPNV - Unentgeltliche Reinigung der Dienstkleidung - Verpflegung für wenig Geld - Weiterbildungsmöglichkeiten - 3 Schichten, auch dauerhafte Schichtbelegung (z.B. nur nachts) ist möglich",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-gesucht-Willkommen-im-Kniesehaus-Berlin-Blindenwohnstaette-Kniesehaus-gemeinnuetzige-Betriebs-GmbH--13199944-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,Yes,"Ihr Profil Ihr Profil- Eine abgeschlossene Ausbildung als Pflegefachkraft, examinierte/r Altenpfleger/in bzw | rübergehende Dienstwohnung - Branchenübliche Vergütung, in Abhängigkeit von der Berufsausbildung, dem Umfang der Berufserfahrung und etwaiger Zusatzqualifikationen - 30 Tage Ur | Ihr Profil- Eine abgeschlossene Ausbildung als Pflegefachkraft, examinierte/r Altenpfleger/in bzw",,Residential & Long-Term Care,,job-58,57
"Pflegefachkraft (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Bergholz-Rehbrücke",CLASSIFICATION_FAILED,,,,,Not specified,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.600 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Bergholz-Rehbruecke-pluss-Personalmanagement-GmbH--13667383-inline.html,HEALTHCARE,Bergholz-Rehbrücke,2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-59,58
"Pflegefachkraft (gn*), Potsdam",CLASSIFICATION_FAILED,,,,,Brandenburg,Oberlinhaus,,2026-06-16,Full-time,,"• Freude an der Planung und Durchführung behandlungspflegerischer Maßnahmen nach SGB V • Sorgsame einsatzbezogene Führung der Pflegedokumentation • Regelmäßige Teilnahme an Dienstbesprechungen sowie Fort- und Weiterbildungen • Wertschätzender Kontakt zu Angehörigen, Ärzt:innen und Therapeut:innen","• Sie verfügen über einen anerkannten Berufsabschluss als Gesundheits- und Krankenpfleger (*gn) oder besitzen eine vergleichbare Qualifikation. • Sie überzeugen idealerweise bereits über Berufserfahrung - auch Berufseinsteiger sind herzlich willkommen. • Sie arbeiten mit Freude, Empathie und Einfühlungsvermögen und können sich auf unterschiedliche Situationen schnell einstellen. • Sie pflegen einen einfühlsamen, sensiblen und offenen Umgang mit pflegebedürftigen Menschen, sind zuverlässig, kommunikativ und teamfähig.","Job-Kennziffer OBERLIN363O 40 h/Woche• eine attraktive Vergütung - Entgeltgruppe 7, AVR DWBO, Einstufung nach Berufserfahrung • systematische Gehaltsentwicklung • eine erfüllende Tätigkeit in einem sinnstiftenden Umfeld • ein 13. Monatsgehalt • 30 Tage Urlaub bei einer 5-Tage-Woche • eine attraktive betriebliche Altersvorsorge bei der EZVK • Kinderzuschlag in Höhe von 88,35 € je Kind bei Vollzeit • Sonderzahlungen, vermögenswirksame Leistungen • Mitarbeitenden-Rabatt-Programm für eine Vielzahl von Marken und Veranstaltungen • regelmäßige Teamcoachings, Supervisionen, Fortbildungen, Mitarbeitendengespräche, Praxisanleitung • Team-Events • eine verlässliche Dienstplanung • intensives Onboarding mit einer persönlichen Ansprechperson • Zuschuss zu einem VBB-Firmenticket, Deutschlandticket oder Nutzung eines für Sie kostenfreien Oberlin-Fahrrads bzw. Jobrads nach Beendigung der ProbezeitSelbstverständlich heißen wir Sie unabhängig von Geschlecht, Nationalität, ethnischer und sozialer Herkunft, Religion/Weltanschauung, Behinderung, Alter sowie sexueller Orientierung und Identität, gleichermaßen willkommen.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-gn-Potsdam-Oberlinhaus--13980362-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,"Therapeut:innen Das ist Ihr Profil • Sie verfügen über einen anerkannten Berufsabschluss als Gesundheits- und Krankenpfleger (*gn) oder besitzen eine vergleichbare Qual | gen, Ärzt:innen und Therapeut:innen • Sie verfügen über einen anerkannten Berufsabschluss als Gesundheits- und Krankenpfleger (*gn) oder besitzen eine vergleichbare Qual",,Other Healthcare Providers,,job-60,59
"Pflegefachkraft, Krugwiese 13/1240",CLASSIFICATION_FAILED,,,,,Not specified,AWO-Wohn-und Pflegeheim Krugwiese,,2026-06-16,Part-time,,"• Selbstständiges Durchführen der Grund- und Behandlungspflege
• Mithilfe bei der Verwirklichung einer individuellen Lebensgestaltung und Zufriedenheit unserer Bewohner*innen
• Unterstützung beim Erstellen der Risikobewertung, der Pflegeplanung und -dokumentation (Steuerung des Pflegeprozesses)
• Mitwirkung im Rahmen des Qualitätsmanagements
• Wertschätzender Umgang mit Bewohner*innen sowie Ansprechpartner*innen
• Identifikation mit den Werten der AWO: Für Vielfalt, Demokratie und respektvolles Miteinander – gegen Rassismus und Diskriminierung!","• Eine abgeschlossene Berufsausbildung als Pflegefachkraft, z. B. Pflegefachmann*frau, Altenpfleger*in oder Gesundheits- und Krankenpfleger*in
• Erste Berufserfahrung ist wünschenswert, aber kein Muss!
• PC-Kenntnisse, idealerweise mit der Software „DAN Touch“
• Teamfähigkeit und Konfliktfähigkeit
• Empathisches Handeln und Engagement
• Zuverlässigkeit und Flexibilität
• Belastbarkeit und Freude am Umgang mit Menschen","• Vergütung nach TV AWO Braunschweig
• Betriebliche Altersvorsorge
• Bis zu 1.000 € Prämie für Empfehlungen neuer Mitarbeiter*innen
• Zuschüsse für Gesundheit und Leben, für z. B. Zahnbehandlungen, Brillen und bei Geburten
• „Business-Bike“ - Fahrradleasing zu günstigen Preisen bei über 6.000 Fachhändler*innen
• Deutschlandweit gültiges Firmen-Fitness-Programm von Hansefit zum vergünstigten Tarif
• Sabbatjahr-Regelung für eine berufliche Auszeit
• Vielfältige Förderungs- und Entwicklungsprogramme
• Betriebliches Gesundheitsmanagement und Angebote zur Vereinbarkeit von Familie und Beruf
• Betriebliche Altersvorsorge
• Betriebsarzt
• Corporate Benefits
• Fahrradleasing
• Fitnessstudio
• Gesundheitsmaßnahmen
• Jahressonderzahlung
• Kostenlose Parkplätze
• Mitarbeiter*innen-Events
• Prämie für Mitarbeiterwerbung",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Krugwiese-13-1240-38640-Goslar-Deutschland-AWO-Wohn-und-Pflegeheim-Krugwiese--12933274-inline.html,HEALTHCARE,Krugwiese 13/1240,2026-06-19,,,,,", bewerben Sie sich trotzdem initiativ bei uns bei der AWO! Eine abgeschlossene Berufsausbildung als Pflegefachkraft, z | volles Miteinander – gegen Rassismus und Diskriminierung! • Eine abgeschlossene Berufsausbildung als Pflegefachkraft, z",,Residential & Long-Term Care,,job-61,60
"Gesundheits- und Krankenpfleger (m/w/d) in moderner Pflegeeinrichtung - Direktvermittlung, Berlin (Weißensee)",CLASSIFICATION_FAILED,,,,,Berlin,pluss Personalmanagement GmbH,,2026-06-16,Part-time,,"• Behandlungspflege bei den Bewohnern
• Durchführung ärztlicher Verordnungen und Therapien
• Dokumentation des Pflegeprozesses inkl. Qualitätssicherung
• Enge Zusammenarbeit mit anderen Fachkräften, Pflegehelfern/-assistenten, Ergotherapeuten und Ärzten","• Ausbildung als Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann (m/w/d)
• Berufliche Erfahrung in der Pflege von Vorteil, aber kein Muss – Berufsanfänger und Wiedereinsteiger sind herzlich willkommen!
• Sehr gutes Deutsch in Wort und Schrift
• Bereitschaft zum Schichtdienst
• Leidenschaft für Deinen Beruf und Spaß am Umgang mit den Bewohnern","• Unbefristeter Vertrag, Voll- oder Teilzeit
• Ansprechende Vergütung: bis zu 4.600 € brutto/Monat, je nach Qualifikation
• Attraktive Zusatzleistungen wie betriebliche Altersvorsorge
• „Mitarbeiter werben Mitarbeiter“-Prämie
• Bezuschusstes Firmen-/Deutschlandticket
• Digitale Dokumentation
• Umfangreiche Weiterbildungsmöglichkeiten, z. B. Wundmanager oder Praxisanleiter, perfekt auf Dich zugeschnitten
• Corporate Benefits bei tollen Anbietern in verschiedenen Bereichen
• Teamevents und Mitarbeiterfeste",On-site,https://www.stepstone.de/stellenangebote--Gesundheits-und-Krankenpfleger-m-w-d-in-moderner-Pflegeeinrichtung-Direktvermittlung-Berlin-Weissensee-pluss-Personalmanagement-GmbH--13667385-inline.html,HEALTHCARE,Berlin (Weißensee),2026-06-19,,,,,"600 € brutto/Monat, je nach Qualifikation Attraktive Zusatzleistungen wie betriebliche Altersvorsorge „Mitarbeiter werben | 600 € brutto/Monat, je nach Qualifikation",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-62,61
